"AROKATO";"nom";"idreg";"pays";"lat";"long";"Est-ouest";"Capitale";"hydrocarbures";"date creation";"typharris1963";"NMonopoleSnyder";"1959y";"1970y";"1979y";"1989y";"2002y";"2010y";
"AR57427";"lysjva";"RUS52";"Russie";58,1;57,78333333;"E";0;0;;"3A2";;73;72.8;75;76.6;71.148;65.931;
"ALI05106";"Panevizys";"LIT00";"Lithuanie";55,73;24,35;"O";1;0;;;;41.096;73.328;101.519;126.419;118.864;111.959;
"AR28414";"Vychnii Volochek";"RUS74";"Russie";57,58333333;34,56666667;"O";0;0;;"3A2";;66.4;73.7;71.7;64.8;56.405;52.326;
"AR46206501";"voskresensk";"RUS40";"Russie";55,31666667;38,68333333;"O";0;0;;;;44.8;74.059;86.751;94.631;92.208;91.301;
"AR94410";"votkinsk";"RUS49";"Russie";57,05;54;"E";0;1;;"3A2";;59.7;74.1;89.8;103.5;99.441;100.034;
"AR57422";"kungur";"RUS52";"Russie";57,43333333;56,93333333;"E";0;0;;"3A2";;64.8;74.5;80.1;81.4;68.943;66.11;
"AKA09102";"Balkash";"KAZ09";"Kazakhstan";46,85;75;"E";0;0;;"3B2";;53.031;75.965;78.145;86.609;65.179;68.833;
"AUZ13101";"Ourgentch";"OUZ00";"Ouzbekistan";41,55;60,63;"E";1;0;;"1B5";;44;76;100.01;126.38;134.749;140.172;
"AUZ12101";"Angren";"OUZ00";"Ouzbekistan";41,02;70,14;"E";0;0;;"3C";;55.789;76.096;105.97;131.97;128.844;126.958;
"AR80435";"oktjabrskij";"RUS07";"Russie";54,48333333;53,48333333;"E";0;1;;"3B2";;64.7;77.1;88;104.7;108.647;109.379;
"AUA01107";"Evpatoria";"UKR01";"Ukraine";45,2;33,36;"O";0;0;;"5A";;56.992;79.444;93.281;107.792;105.849;106.846;
"AKA03106";"Kokshetau";"KAZ01";"Kazakhstan";53,28;69,39;"E";1;0;;"1B5";;52.909;80.564;103.162;136.757;123.54;135.106;
"AR46221501";"klin";"RUS40";"Russie";56,33333333;36,7;"O";0;0;;"3A2";;53.3;80.9;91.5;94.9;83.178;80.584;
"AR73405";"dimitrvgrad";"RUS50";"Russie";54,21666667;49,6;"O";0;0;;;;50.7;81.4;106;123.6;130.871;122.549;
"AKA05109";"Taldykorgai";"KAZ04";"Kazakhstan";45,02;78,37;"E";1;0;;;;48.104;81.622;108.396;138.237;114.065;139.075;
"AUA05103";"Artemivsk";"UKR06";"Ukraine";48,59;38,01;"O";0;0;;"3B2";;65.222;82.342;87.084;90.279;82.464;78.849;
"AR63410";"balashov";"RUS60";"Russie";51,55;43,16666667;"O";0;0;;"2A";;64.3;83.1;93.1;97;98.33;82.222;
"AR47405";"Apatity";"RUS41";"Russie";67,56666667;33,4;"O";0;0;;;;53;84.1;102.5;131.5;95.998;88.329;
"AR56405";"kuzneck";"RUS51";"Russie";53,11666667;46,6;"O";0;0;;"3A2";;56.9;84.1;93.6;98.6;92.05;88.883;
"ABE07101";"Barysau";"BEL00";"Belarus";54,23;28,49;"O";0;0;;"3A2";;59.28;84.112;111.672;143.792;150.52;146.91;
"AUA19115";"Ternopil";"UKR21";"Ukraine";49,55;25,61;"O";1;0;;"1B4";;52.245;84.663;143.625;204.845;227.035;217.577;
"AR07424";"nevinnomysk";"RUS62";"Russie";44,63333333;41,93333333;"O";0;1;;;;39.8;85.1;103.7;121.4;132.141;118.351;
"AR58410";"velikie luki";"RUS54";"Russie";56,33333333;30,51666667;"O";0;0;;"2A";;58.9;85.3;101.5;113.7;104.979;98.778;
"AR75452";"troickch";"RUS66";"Russie";54,08333333;61,56666667;"E";0;1;;"3A2";;76.3;85.5;87.5;90.1;83.862;78.637;
"AR36450";"chapajevsk";"RUS59";"Russie";52,98333333;49,71666667;"O";0;1;;"3A2";;83.3;86.1;84.6;98;73.912;72.689;
"AR25436";"usoljesibir";"RUS17";"Russie";52,75;103,65;"E";0;0;;;;48.5;86.7;103;106.5;90.161;83.364;
"AUA01118";"Yalta";"UKR01";"Ukraine";44,5;34,17;"O";0;0;;;;63.463;86.778;103.219;113.162;101.32;98.071;
"AR92405";"Almetevsk";"RUS65";"Russie";54,9;52,3;"O";0;1;;;;50.9;87.1;109.6;129;140.437;146.309;
"AR87425";"Oukhta";"RUS29";"Russie";63,56666667;53,7;"O";0;1;;;;52;87.6;114.5;140.9;132.927;127.451;
"AR60419";"kamenskshah";"RUS55";"Russie";48,31666667;40,26666667;"O";0;0;;"3B2";;76.804;87.757;92.377;95.999;98.232;95.306;
"AR57430";"solikamsk";"RUS52";"Russie";59,63333333;56,76666667;"E";0;0;;;;82.9;88.6;101.2;110.1;102.531;97.239;
"AR17410";"aleksandrov";"RUS75";"Russie";56,4;38,71666667;"O";0;0;;;;73.8;89;98.8;104.4;96.895;90.784;
