"AROKATO";"nom";"idreg";"pays";"lat";"long";"Est-ouest";"Capitale";"hydrocarbures";"date creation";"typharris1963";"NMonopoleSnyder";"1959y";"1970y";"1979y";"1989y";"2002y";"2010y";
"AR98409";"njurba";"RUS15";"Russie";63,28333333;118,3333333;"E";0;1;;;;;10;10.6;11.9;10.309;10.156;
"AR17246520";"pokrov";"RUS75";"Russie";55,91666667;39,18333333;"O";0;0;;;;;10;14.6;16;15.92;17.762;
"AR152045510";"Lokot";"RUS11";"Russie";52,57;34,58;"O";0;0;;;;;10.005;10.229;11.191;12.094;10.028;
"ALE01118";"Dobele";"LET00";"Lettonie";56,62;23,28;"O";0;0;;;;;10.065;13.074;15.173;11.366;11.187;
"AUA04108";"Zelenodol sk";"UKR05";"Ukraine";47,6;33,68;"O";0;0;;;;;10.07;12.775;15.355;14.692;14.2;
"ABE05113";"Smargon";"BEL00";"Belarus";54,58;26,4;"O";0;0;;;;;10.095;16.503;30.839;36.2;36.356;
"AR66214553";"Verkhnedneprovskii";"RUS61";"Russie";54,98;33,33;"O";0;0;;;;;10.099;16.163;16.496;14.278;12.969;
"AR46462";"puschino";"RUS40";"Russie";54,83333333;37,61666667;"O";0;0;;;;;10.1;16.5;19.5;19.964;20.263;
"AR14254551";"Tchernyanka";"RUS08";"Russie";50,94;37,81;"O";0;0;;;;;10.106;11.795;13.475;15.067;15.217;
"AR81218";"Onokhoi";"RUS10";"Russie";51,92;108,03;"E";0;0;;;;;10.133;10.43;10.715;10.673;10.69;
"ABE07124";"Tcheven";"BEL00";"Belarus";53,71;28,43;"O";0;0;;;;;10.136;11.461;11.46;10.836;10.091;
"ALI06106";"Naujoji Akmeni";"LIT00";"Lithuanie";56,32;22,9;"O";0;0;;;;;10.175;14.448;13.657;12.193;11.096;
"AMO01123";"Drochia";"MOL00";"Moldavie";48,03;27,82;"O";0;0;;;;;10.178;14.44;21.298;17.166;17.5;
"AR92417";"zainsk";"RUS65";"Russie";55,3;52,01666667;"O";0;1;;;;17.616;10.184;30.3;36.6;41.088;41.798;
"AKA11203";"Zhanakorgan";"KAZ11";"Kazakhstan";43,91;67,25;"E";0;0;;;;;10.184;16.835;18.939;20.39;22.716;
"AUA25104";"Borzna";"UKR27";"Ukraine";51,25;32,43;"O";0;0;;;;10.131;10.188;11.532;12.506;11.634;10.65;
"AR22239501";"lukojanov";"RUS42";"Russie";55,03333333;44,48333333;"O";0;0;;;;;10.2;11.4;12.3;12.856;14.949;
"AR17445";"suzdalj";"RUS75";"Russie";56,43333333;40,43333333;"O";0;0;;;;;10.2;11.5;12.1;11.357;10.535;
"AR46246554000";"Lvovskii";"RUS40";"Russie";55,31;37,53;"O";0;0;;;;;10.224;10.194;12.858;11.906;10.759;
"AUA08205";"Yakimivka";"UKR09";"Ukraine";48,1;35,47;"O";0;0;;;;;10.24;11.509;13.034;12.742;12.042;
"AUA10123";"Oujrainka";"UKR12";"Ukraine";50,13;30,73;"O";0;0;;;;;10.244;14.393;16.327;14.127;15.168;
"AUA25103";"Bobrovitsya";"UKR27";"Ukraine";51,52;31,37;"O";0;0;;;;;10.257;12.14;12.796;11.884;11.204;
"AR102475515";"Seryshevo";"RUS04";"Russie";51,09;128,38;"E";0;0;;;;;10.279;11.522;13.456;12.186;10.69;
"AR86233501";"pitkjaranta";"RUS12";"Russie";61,56666667;31,48333333;"O";0;0;;;;;10.3;13.8;14.4;13.347;11.484;
"AR15254501";"surazh";"RUS11";"Russie";53,01666667;32,4;"O";0;0;;;;;10.3;10.6;12.6;12.046;11.64;
"ABE05114";"Shtchoutchyn";"BEL00";"Belarus";53,61;24,74;"O";0;0;;;;;10.337;12.856;15.364;16.08;15.052;
"AUA09102";"Bourshtin";"UKR10";"Ukraine";49,27;24,63;"O";0;0;;;;;10.338;13.122;14.416;15.243;15.311;
"AUA13144";"Yavoriv";"UKR15";"Ukraine";49,93;23,28;"O";0;0;;;;;10.354;12.413;13.029;13.486;12.873;
"AAZ05112";"Tovuz";"AZE00";"Azerbaidjan";40,99;45,63;"O";0;0;;;;;10.358;11.341;13.373;13.513;13.6;
"AUA10121";"Tetiiv";"UKR12";"Ukraine";49,38;29,67;"O";0;0;;;;;10.368;12.575;14.605;14.795;13.292;
"AKA05203";"Karkaly";"KAZ04";"Kazakhstan";0;0;"E";0;;;;;;10.392;13.767;16.468;18.178;20.114;
"AR57214501";"gornozavdsk";"RUS52";"Russie";58,38333333;58,31666667;"E";0;1;;;;10.1;10.4;10.7;14.9;13.061;12.056;
"AR52418";"tjukalinsk";"RUS45";"Russie";55,86666667;72,2;"E";0;0;;;;10.2;10.4;11.5;12.2;12.007;11.276;
"AR87244505";"mikunj";"RUS29";"Russie";62,35;50,06666667;"O";0;0;;;;11.3;10.4;11.3;12.5;11.68;10.732;
"AR66238501";"rudnja";"RUS61";"Russie";54,95;31,06666667;"O";0;;;;;;10.4;11;11;10.388;10.029;
"AR83235501";"terek";"RUS19";"Russie";43,48333333;44,13333333;"O";0;1;;;;;10.4;12.3;16.6;20.255;19.17;
"AUA09101";"Bolekhiv";"UKR10";"Ukraine";49,07;23,87;"O";0;0;;;;10.515;10.414;10.333;10.841;10.572;10.686;
"AKA10202";"Karabalyk";"KAZ10";"Kazakhstan";53,3;62,23;"E";0;1;;;;;10.441;12.337;13.802;10.944;11.08;
"AR27206501";"gvardejsk";"RUS20";"Russie";54,65;21,06666667;"O";0;1;;;;;10.5;10.8;11.9;14.572;13.888;
"AR17252501";"sudogda";"RUS75";"Russie";55,95;40,86666667;"O";0;0;;;;;10.5;12.4;14.2;13.328;11.848;
"AR052325511";"Pogranitchnyi";"RUS53";"Russie";44,41;131,38;"E";0;0;;;;11.024;10.505;10.098;11.333;12.221;10.28;
"AKA07101";"Arsai";"KAZ07";"Kazakhstan";51,17;52,99;"E";0;1;;;;;10.52;10.4;18.237;31.93;32.873;
"AR15238551";"Navlya";"RUS11";"Russie";52,83;34,5;"O";0;0;;;;;10.522;11.92;13.709;14.014;14.361;
"AUA06111";"Radomishl";"UKR07";"Ukraine";50,5;29,23;"O";0;0;;;;11.427;10.528;15.561;16.999;15.313;15.042;
"AUA06102";"Baranivka";"UKR07";"Ukraine";50,87;29,22;"O";0;0;;;;;10.546;11.368;12.638;12.515;12.173;
"AUA22101";"Volotchisk";"UKR24";"Ukraine";49,53;26,17;"O";0;0;;;;;10.559;17.083;23.985;20.79;19.754;
"AR50236551";"Maslyanino";"RUS44";"Russie";54,34;84,21;"E";0;0;;;;;10.578;11.883;12.656;13.565;13.102;
"AR22254501";"urenj";"RUS42";"Russie";57,46666667;45,78333333;"O";0;0;;;;10.8;10.6;13.1;13.6;12.558;12.306;
"AR95409";"sorsk";"RUS27";"Russie";54;90,25;"E";0;0;;;;11.1;10.6;12.2;15.1;13.313;12.14;
"AR90215501";"digora";"RUS48";"Russie";43,15;44,15;"O";0;1;;;;;10.6;10.6;10.9;11.819;10.856;
"AR46430";"zvenigorod";"RUS40";"Russie";55,73333333;36,85;"O";0;0;;;;;10.6;12.3;15.8;12.155;16.395;
"AR682225519";"Pervomaiskii";"RUS64";"Russie";53,25;40,29;"O";0;0;;;;;10.604;12.706;13.767;13.748;12.662;
"AR07225501";"novpavlovsk";"RUS62";"Russie";43,96666667;43,63333333;"O";0;1;;;;;10.608;13.5;18.6;23.235;26.556;
"AUA04209";"Shiroke";"UKR05";"Ukraine";47,68;33,27;"O";0;0;;;;;10.62;11.356;11.722;11.258;10.284;
"AUA13133";"Sosnivka";"UKR15";"Ukraine";50,28;24,25;"O";0;0;;;;;10.658;12.935;13.163;11.86;11.613;
"AUA17108";"Ostrog";"UKR19";"Ukraine";50,33;26,52;"O";0;0;;;;;10.679;12.19;12.984;14.798;15.429;
"AUA09201";"Pereginske";"UKR10";"Ukraine";48,81;24,19;"O";0;0;;;;10.091;10.697;10.961;11.975;12.293;12.463;
"AR25222551";"Kouitoun";"RUS17";"Russie";54,34;101,5;"E";0;0;;;;;10.781;10.774;11.137;10.847;10.096;
"AR37244501";"schuchje";"RUS31";"Russie";55,21666667;62,76666667;"E";0;1;;;;10.3;10.8;10.4;11.1;10.602;10.971;
"AR04407";"borodino";"RUS34";"Russie";55,9;94,9;"E";0;0;;;;;10.8;11.3;18.4;19.181;17.423;
"AUA19114";"Terebovlya";"UKR21";"Ukraine";49,3;25,72;"O";0;0;;;;;10.857;12.009;13.622;13.667;13.764;
"AUA13114";"Zhivkva";"UKR15";"Ukraine";50,07;23,97;"O";0;0;;;;10.66;10.863;11.032;12.649;13.448;13.427;
"AUA16106";"Kobelyaki";"UKR18";"Ukraine";49,15;34,2;"O";0;0;;;;10.844;10.883;11.902;12.975;11.945;10.484;
"ABE07105";"Dzyarzhynsk";"BEL00";"Belarus";53,69;27,14;"O";0;0;;;;;10.889;15.785;22.904;24.218;25.287;
"AR29206505";"balabanovo";"RUS22";"Russie";55,18333333;36,65;"O";0;0;;;;;10.9;15.4;19.1;23.312;26.337;
"AR03233556000";"Psebai";"RUS33";"Russie";44,15;40,51;"O";0;1;;;;14.152;10.907;11.048;11.207;11.031;10.84;
"AR46231565";"Kraskovo";"RUS40";"Russie";55,65;37,99;"O";0;0;;;;10.107;10.954;12.399;13.806;11.93;21.938;
"AUA24110";"Storozhinets";"UKR26";"Ukraine";48,16;25,72;"O";0;0;;;;;10.963;12.39;14.546;14.661;14.462;
"AUA16109";"Lokhvintsa";"UKR18";"Ukraine";50,37;33,27;"O";0;0;;;;10.874;10.998;12.317;13.549;12.355;11.962;
"AR58247501";"porhov";"RUS54";"Russie";57,76666667;29,55;"O";0;0;;;;;11;13.4;14.2;12.263;10.608;
"AUA02115";"Pogrebische";"UKR03";"Ukraine";49,48;29,27;"O";0;0;;;;;11.003;11.396;11.705;10.703;10.08;
"AAZ04116";"Ucar";"AZE00";"Azerbaidjan";40,52;47,65;"O";0;1;;;;;11.02;12.09;14.273;15.905;17;
"AUA05137";"Novoazovsk";"UKR06";"Ukraine";47,11;38,08;"O";0;0;;;;;11.025;12.015;12.988;12.646;12.047;
"AUA25116";"Schors";"UKR27";"Ukraine";51,82;31,93;"O";0;0;;;;10.662;11.044;12.116;13.529;12.206;11.373;
"AUA20203";"Komsomolske";"UKR22";"Ukraine";49,59;36,53;"O";0;0;;;;;11.089;14.084;15.871;15.873;14.955;
"AR01430";"jarovoje";"RUS02";"Russie";52,93333333;78,58333333;"E";0;0;;;;;11.1;15.2;21.8;21.363;18.605;
"AR89257555";"Komsomolskii";"RUS39";"Russie";54,45;45,82;"O";0;0;;;;;11.102;13.232;14.74;14.23;13.513;
"AR52258551";"Tcherlak";"RUS45";"Russie";54,15;74,8;"E";0;0;;;;11.645;11.131;11.236;11.84;12.269;10.978;
"AUA04201";"Vacil kivka";"UKR05";"Ukraine";48,2;36,03;"O";0;0;;;;14.133;11.135;11.918;12.764;12.066;11.878;
"AAZ08102";"Qusar";"AZE00";"Azerbaidjan";41,43;48,44;"O";0;1;;;;;11.144;12.225;14.23;15.77;16.8;
"ALI01103";"Druskininkai";"LIT00";"Lithuanie";54,02;23,97;"O";0;0;;;;;11.16;16.971;22.502;17.888;16.111;
"AR56223551";"Zemettchino";"RUS51";"Russie";53,5;42,62;"O";0;0;;;;11.72;11.2;11.156;11.876;12.088;10.773;
"AKA10104";"Lisakovsk";"KAZ10";"Kazakhstan";52,54;62,49;"E";0;1;;;;;11.208;24.602;33.134;34.494;36.622;
"AUA19103";"Boutchatch";"UKR21";"Ukraine";49,08;25,4;"O";0;0;;;;;11.212;12.845;13.657;12.559;12.48;
"AUA05147";"Soledar";"UKR06";"Ukraine";48,68;38,1;"O";0;0;;;;11.004;11.228;10.821;12.305;13.086;12.07;
"AR92233551";"Koukmor";"RUS65";"Russie";56,18;50,89;"O";0;0;;;;;11.247;13.173;14.731;16.764;16.917;
"AUA02110";"Ladizhin";"UKR03";"Ukraine";48,67;29,25;"O";0;0;;;;;11.248;17.573;19.708;22.216;22.497;
"AAZ10104";"Fuzuli";"AZE00";"Azerbaidjan";39,6;47,14;"O";0;0;;;;;11.253;13.201;17.09;19.529;21.2;
"ABE07114";"Marina Gorka";"BEL00";"Belarus";53,52;28,15;"O";0;0;;;;;11.297;15.156;18.866;23.599;21.365;
"AR28222501";"kaljazin";"RUS74";"Russie";57,23333333;37,85;"O";0;0;;;;11.1;11.3;13.9;15.5;14.82;13.87;
"AR08224557";"Khor";"RUS26";"Russie";47,89;134,95;"E";0;1;;;;11.041;11.304;11.484;13.227;11.85;10.391;
"AGE04111";"Khoni";"GEO00";"Georgie";42,32;42,43;"O";0;0;;;;10.793;11.347;14.549;14.425;11.315;11.1;
"AMO01126";"Falesti";"MOL00";"Moldavie";47,57;27,71;"O";0;0;;;;11.048;11.361;11.624;14.043;14.809;14.3;
"AUA16114";"Khorol";"UKR18";"Ukraine";49,78;33,28;"O";0;0;;;;12.357;11.379;13.035;16.492;14.713;13.785;
"ALI05101";"Birzai";"LIT00";"Lithuanie";56,2;24,75;"O";0;0;;;;;11.385;14.798;16.104;15.196;13.276;
"AR33241501";"urzhum";"RUS28";"Russie";57,11666667;50;"O";0;0;;;;10.9;11.4;12;12.1;11.514;10.213;
"AR01214501";"zmeinogorsk";"RUS02";"Russie";51,16666667;82,18333333;"E";0;0;;;;13.8;11.4;10.6;12.2;11.625;10.955;
"AR11218501";"kargopol";"RUS05";"Russie";61,5;38,93333333;"O";0;0;;;;;11.4;10.7;12.5;11.192;10.148;
"AUA02102";"Bershad ";"UKR03";"Ukraine";48,37;29,52;"O";0;0;;;;11.545;11.442;12.843;14.134;13.327;13.239;
"AUA10112";"Kagarlik";"UKR12";"Ukraine";49,85;30,83;"O";0;0;;;;;11.449;13.202;14.065;13.726;13.655;
"ALI06104";"Kursinai";"LIT00";"Lithuanie";55,98;22,92;"O";0;0;;;;;11.468;13.28;14.608;14.11;13.372;
"AKA08101";"Zhanatas";"KAZ08";"Kazakhstan";43,57;69,75;"E";0;0;;;;;11.48;30.097;53.401;24.698;20.731;
"AES01105";"Haapsalu";"EST00";"Estonie";58,93333333;23,53333333;"O";0;0;;;;;11.483;13.456;15.176;11.977;11.618;
"AGE10101";"Bolnisi";"GEO00";"Georgie";41,45;44,54;"O";0;;;;;12.42;11.504;12.442;15.047;12.809;11.6;
"AKA13204";"Atakent (ilitch)";"KAZ13";"Kazakhstan";40,85;68,51;"E";0;0;;;;22.832;11.507;11.753;15.279;14.328;16.402;
"ABE05108";"Masty";"BEL00";"Belarus";53,41;24,53;"O";0;0;;;;;11.585;13.633;16.494;17.793;16.347;
"AR19224501";"grjazovec";"RUS77";"Russie";58,88333333;40,25;"O";0;0;;;;;11.6;13.8;16.4;16.172;15.528;
"AR27221501";"neman";"RUS20";"Russie";55,03333333;22,03333333;"O";0;1;;;;;11.6;12.5;13.8;12.714;11.794;
"AUA24111";"Khotin";"UKR26";"Ukraine";48,48;26,5;"O";0;0;;;;10.319;11.603;11.932;12.393;11.165;10.129;
"AR56534";"zarechnyj";"RUS51";"Russie";53,2;45,2;"O";0;0;;;;;11.62;18.69;31.694;62.97;63.579;
"AR20219551";"Kantemirovka";"RUS78";"Russie";49,7;39,86;"O";0;0;;;;;11.621;12.262;13.465;12.949;11.943;
"AMO01131";"Hincesti";"MOL00";"Moldavie";46,83;28,59;"O";0;0;;;;;11.632;14.762;19.235;15.757;15.2;
"AAZ05111";"shamkir";"AZE00";"Azerbaidjan";40,83;46,02;"O";0;0;;;;;11.657;21.965;27.917;34.063;38.5;
"AR15226551";"Kletnya";"RUS11";"Russie";53,39;33,22;"O";0;0;;;;;11.68;12.436;14.258;13.936;13.312;
"AR19222501";"vytegra";"RUS77";"Russie";61;36,45;"O";0;0;;;;11.3;11.7;12;12.9;11.4;10.49;
"AR97219501";"kozlovka";"RUS69";"Russie";55,83333333;48,25;"O";0;0;;;;;11.7;11.9;12.7;13.054;10.355;
"AR28238501";"lihoslavl";"RUS74";"Russie";57,11666667;35,46666667;"O";0;0;;;;;11.7;12.8;13.4;12.515;12.259;
"AR32459";"Krasnobrodskii";"RUS25";"Russie";54,16;86,45;"E";0;0;;;;11.658;11.71;11.77;12.663;11.859;11.922;
"AR46248568";"Oudelnaya";"RUS40";"Russie";55,62;38;"O";0;0;;;;11.706;11.725;11.755;11.334;13.309;14.994;
"AR46247558";"Pravdinskii";"RUS40";"Russie";56,07;37,85;"O";0;0;;;;11.369;11.727;11.161;11.295;10.458;10.589;
"AR41215514";"svetogorsk";"RUS35";"Russie";61,11666667;28,85;"O";0;0;;;;10.4;11.758;13;15.6;15.698;15.973;
"AR57405558";"Yaiva";"RUS52";"Russie";59,33;57,27;"E";0;0;;;;13.28;11.767;11.278;11.877;10.885;10.321;
"AR46405";"bronnicy";"RUS40";"Russie";55,43333333;38,26666667;"O";0;0;;;;10.1;11.8;14.2;16.1;18.232;21.102;
"AR90210501";"ardon";"RUS48";"Russie";43,16666667;44,28333333;"O";0;1;;;;;11.8;12.9;13.5;17.521;18.774;
"AR36230501";"neftegorsk";"RUS59";"Russie";52,8;51,16666667;"O";0;1;;;;;11.8;15.2;18.9;19.388;19.256;
"AR41218569000";"Siverskii";"RUS35";"Russie";59,35;30,07;"O";0;0;;;;12.067;11.802;13.722;11.885;12.137;12.222;
"AUA15106";"Bilyaivka";"UKR17";"Ukraine";46,48;30,2;"O";0;0;;;;;11.804;12.85;13.866;14.124;12.38;
"AR14215551";"Borisovka";"RUS08";"Russie";50,61;36,01;"O";0;0;;;;10.386;11.839;12.411;13.002;14.072;13.899;
"AAZ04105";"Bilasuvar";"AZE00";"Azerbaidjan";39,46;48,55;"O";0;1;;;;;11.84;15.925;18.632;19.827;20.6;
"AR80257551";"Tchishmy";"RUS07";"Russie";54,58;55,38;"E";0;1;;;;;11.87;14.283;18.982;21.008;21.198;
"AUA23113";"Khristinivka";"UKR25";"Ukraine";48,83;29,97;"O";0;0;;;;;11.881;12.878;13.332;11.593;10.913;
"AMO01125";"Edinet";"MOL00";"Moldavie";48,17;27,3;"O";0;0;;;;;11.884;15.057;19.586;16.102;18.2;
"AR46254504";"taldom";"RUS40";"Russie";56,73333333;37,53333333;"O";0;0;;;;10.4;11.9;13.1;14.4;13.334;13.819;
"AUA11101";"Bobrinets";"UKR13";"Ukraine";48,05;32,17;"O";0;0;;;;13.056;11.908;12.842;12.869;12.181;10.988;
"AAR06105";"Spitak";"ARM00";"Armenie";40,84;44,27;"O";0;0;;;;;11.913;14.591;13.74;14.988;15.2;
"ABE03106";"Glybokae";"BEL00";"Belarus";55,13;27,68;"O";0;0;;;;;11.928;15.387;17.019;19.5;18.252;
"AR92254551";"Ouroussou";"RUS65";"Russie";54,58;53,45;"O";0;1;;;;11.572;11.929;10.738;10.663;11.258;10.681;
"AUA10101";"Berezan";"UKR12";"Ukraine";50,32;31,47;"O";0;0;;;;12.05;11.934;12.584;14.885;17.251;16.611;
"AUA16201";"Kotelva";"UKR18";"Ukraine";50,07;34,75;"O";0;0;;;;11.984;11.945;12.029;12.943;12.649;12.472;
"AUA01105";"Bilogirsk";"UKR01";"Ukraine";45,05;34,6;"O";0;0;;;;;11.994;14.116;15.627;18.688;18.224;
"AR41428";"kirovskl";"RUS35";"Russie";59,86666667;30,98333333;"O";0;0;;;;11.1;12;17;23.7;24.361;25.633;
"AKA04107";"Khromtau";"KAZ02";"Kazakhstan";50,25;58,43;"E";0;0;;;;;12.025;17.917;24.438;22.317;24.089;
"AUA10120";"Tarascha";"UKR12";"Ukraine";49,57;30,5;"O";0;0;;;;11.368;12.058;13.38;14.34;13.337;11.73;
"AR50223551";"Kotchenevo";"RUS44";"Russie";55,02;82,2;"E";0;0;;;;;12.058;13.079;15.048;16.51;16.374;
"AUA08105";"Dniproroudne";"UKR09";"Ukraine";47,41;35,02;"O";0;0;;;;;12.068;16.997;22.773;20.879;19.749;
"AUA10113";"Mironivka";"UKR12";"Ukraine";49,65;30,98;"O";0;0;;;;;12.095;14.434;15.973;13.266;12.006;
"AR37226501";"petuhovo";"RUS31";"Russie";55,06666667;67,88333333;"E";0;0;;;;13;12.1;11.8;14.6;12.661;11.291;
"AR18230501";"leninsk";"RUS76";"Russie";48,7;45,2;"O";0;0;;;;11.4;12.1;12.3;13.1;14.866;15.527;
"AR15256501";"trubchevsk";"RUS11";"Russie";52,58333333;33,76666667;"O";0;0;;;;11.842;12.1;14.4;16.3;16.342;15.014;
"AUA05120";"Zhdanivka";"UKR06";"Ukraine";48,16;38,26;"O";0;0;;;;12.512;12.109;12.833;14.433;13.556;12.583;
"AAR02101";"Ashtarak";"ARM00";"Armenie";40,3;44,36;"O";1;0;;;;;12.131;16.362;23.623;20.652;20.8;
"AES01117";"Kuressaare";"EST00";"Estonie";58,25;22,48333333;"O";0;0;;;;;12.14;14.26;16.356;14.971;14.977;
"AUA16103";"Grevinka";"UKR18";"Ukraine";50,12;32,43;"O";0;0;;;;10.65;12.163;13.664;13.555;11.596;11.022;
"ABE02120";"Prouzhany";"BEL00";"Belarus";52,56;24,46;"O";0;0;;;;;12.17;17.256;23.079;19.959;18.952;
"AR46221503";"vysokovsk";"RUS40";"Russie";56,31666667;36,55;"O";0;0;;;;11.1;12.2;11.4;11.6;10.95;10.642;
"AUA20204";"Nova Vodolaga";"UKR22";"Ukraine";49,72;35,87;"O";0;0;;;;13.43;12.215;13.979;14.979;13.498;12.129;
"AR28230574";"Perkino";"RUS74";"Russie";56,63;36,3;"O";0;0;;;;;12.233;14.864;13.448;11.887;11.704;
"ABE07104";"Vileika";"BEL00";"Belarus";54,5;26,92;"O";0;0;;;;;12.24;20.747;28.077;30;26.786;
"AUA13109";"Gorodok";"UKR15";"Ukraine";49,78;23,65;"O";0;0;;;;;12.263;13.798;16.47;15.981;15.67;
"AGE11102";"Kaspi";"GEO00";"Georgie";41,92;44,42;"O";0;0;;;;;12.263;13.824;17.305;15.233;15.6;
"AUA10103";"Bogouslav";"UKR12";"Ukraine";49,55;30,88;"O";0;0;;;;11.8;12.264;16.885;19.107;17.086;16.727;
"AR04230551";"Kouraguino";"RUS34";"Russie";53,9;92,67;"E";0;0;;;;;12.282;12.283;14.351;14.298;13.741;
"AKA16102";"Zaisan";"KAZ16";"Kazakhstan";47,47;84,87;"E";0;0;;;;;12.289;14.374;16.97;15.639;14.389;
"AUA22107";"Krasiliv";"UKR24";"Ukraine";49,65;26,97;"O";0;0;;;;10.522;12.292;17.276;21.196;20.428;19.737;
"AR19205501";"babajevo";"RUS77";"Russie";59,38333333;35,95;"O";0;0;;;;12;12.3;12.9;14.2;12.604;12.074;
"AR33205501";"belholunica";"RUS28";"Russie";58,83333333;50,85;"O";0;0;;;;10.4;12.3;13;13.4;11.975;11.232;
"AR29206501";"borovsk";"RUS22";"Russie";55,2;36,48333333;"O";0;0;;;;10.9;12.3;13.6;13.4;11.917;12.283;
"AR42233501";"lebedjanj";"RUS36";"Russie";53,01666667;39,15;"O";0;0;;;;11.659;12.3;20;22.9;22.966;20.991;
"ALE01132";"Kuldiga";"LET00";"Lettonie";56,97;21,98;"O";0;0;;;;10.48;12.32;13.98;14.232;13.272;12.811;
"AUA14105";"Nova Odesa";"UKR16";"Ukraine";47,32;31,78;"O";0;0;;;;;12.362;13.7;14.883;13.987;12.52;
"AAR05104";"Sevan";"ARM00";"Armenie";40,55;44,95;"O";0;0;;;;;12.392;20.492;26.951;21.441;21.7;
"AR47203501";"kovdor";"RUS41";"Russie";67,56666667;30,46666667;"O";0;0;;;;;12.4;23.2;30.5;20.867;18.836;
"ALI03108";"siluti";"LIT00";"Lithuanie";55,35;21,48;"O";0;1;;;;;12.401;16.319;21.504;21.421;20.813;
"AUA19101";"Berezhani";"UKR21";"Ukraine";49,45;24,93;"O";0;0;;;;11.199;12.459;14.589;16.88;17.648;18.118;
"AAZ01218";"Pirallahi";"AZE00";"Azerbaidjan";40,4;50,33;"O";0;0;;;;12.593;12.489;11.566;13.724;14.916;15.7;
"AR03233551";"Mostovskoi";"RUS33";"Russie";56,76;92,75;"O";0;0;;;;;12.495;14.363;19.348;24.866;25.077;
"AR80404";"bajmak";"RUS07";"Russie";52,58333333;58,31666667;"E";0;0;;;;11.3;12.5;13.5;16;17.223;17.71;
"AR49250501";"chudovo";"RUS43";"Russie";59,11666667;31,66666667;"O";0;0;;;;11.4;12.5;14.5;18;17.434;15.401;
"AR46243504";"drezna";"RUS40";"Russie";55,75;38,83333333;"O";0;0;;;;11.5;12.5;12.3;13;11.665;11.815;
"AR76220551";"Karymskoe";"RUS80";"Russie";51,62;114,35;"E";0;0;;;;10.389;12.506;14.446;15.692;12.44;13.042;
"AUA14107";"Otchakiv";"UKR16";"Ukraine";46,62;31,55;"O";0;0;;;;;12.529;14.918;18.976;16.695;14.981;
"AR37208501";"dalmatovo";"RUS31";"Russie";56,26666667;62,91666667;"E";0;1;;;;11;12.6;15.3;17.5;14.972;13.913;
"AR20258501";"ertilj";"RUS78";"Russie";51,83333333;40,8;"O";0;0;;;;10.1;12.6;13.2;14.1;12.885;11.387;
"AUA07106";"Rakhiv";"UKR08";"Ukraine";48,05;24,21;"O";0;0;;;;10.849;12.604;14.493;15.812;15.233;15.072;
"AR36204551";"Bezentchouk";"RUS59";"Russie";52,98;49,42;"O";0;1;;;;10.376;12.605;17.67;23.65;23.921;22.952;
"AR20251551";"Talovaya";"RUS78";"Russie";51,11;40,73;"O";0;0;;;;11.354;12.625;13.075;13.99;13.554;12.219;
"ABE04117";"Khoiniki";"BEL00";"Belarus";51,9;29,97;"O";0;0;;;;10.128;12.626;15.121;17.113;14.515;13.853;
"AUA11108";"Novomirgorod";"UKR13";"Ukraine";48,78;31,65;"O";0;0;;;;12.189;12.684;14.08;16.349;13.104;11.746;
"AUA08103";"Vilnyansk";"UKR09";"Ukraine";47,94;35,43;"O";0;0;;;;;12.684;15.368;17.566;16.485;16.002;
"AR61258551";"Shilovo";"RUS56";"Russie";54,01;39,9;"O";0;0;;;;;12.685;13.965;18.374;16.572;15.669;
"AR81221501";"zakamensk";"RUS10";"Russie";50,38333333;103,2833333;"E";0;0;;;;13.8;12.7;13.2;15.6;12.709;11.53;
"AAZ05107";"Goygol";"AZE00";"Azerbaidjan";40,59;46,32;"O";0;0;;;;11.475;12.703;13.31;15.338;16.643;17.5;
"AUA06109";"Ovroutch";"UKR07";"Ukraine";51,32;28,8;"O";0;0;;;;11.536;12.71;15.401;19.121;16.989;16.722;
"ABE06107";"Klimavitchy";"BEL00";"Belarus";53,61;31,95;"O";0;0;;;;11.586;12.723;14.953;16.535;16.37;16.831;
"AR46254558";"Zaproudnya";"RUS40";"Russie";56,57;37,43;"O";0;0;;;;;12.761;14.385;14.457;12.621;12.855;
"AR76247501";"hilok";"RUS80";"Russie";51,35;110,45;"E";0;0;;;;15.9;12.8;14.2;13.9;11.152;11.53;
"AKA09201";"Atasou";"KAZ09";"Kazakhstan";48,68;71,64;"E";0;0;;;;12.31;12.824;15.568;16.007;14.088;14.265;
"AUA04102";"Verkhivtseve";"UKR05";"Ukraine";48,48;34,25;"O";0;0;;;;15.975;12.843;11.695;11.246;10.086;10.083;
"AR17246501";"petushki";"RUS75";"Russie";55,93333333;39,46666667;"O";0;0;;;;11.5;12.9;17.6;20.1;16.482;15.167;
"AR58229501";"opochka";"RUS54";"Russie";56,71666667;28,65;"O";0;0;;;;11.7;12.9;15;16.2;13.964;11.601;
"AR17225501";"kameshkovo";"RUS75";"Russie";56,35;41;"O";0;0;;;;11.8;12.9;14.1;15.1;14.161;13.113;
"AR46220504";"ozherelje";"RUS40";"Russie";54,8;38,26666667;"O";0;0;;;;11.9;12.9;14.45;16.2;11.113;10.444;
"AR50219501";"kargat";"RUS44";"Russie";55,2;80,28333333;"E";0;0;;;;12.8;12.9;12.6;12.6;11.184;10.042;
